BlockId,EventSequence
.......init_policyAPI: papi_debug:  Entering,['3c905a62']
.......init_policyAPI: papi_debug:  papiLogFunc = 98681F0 papiUserValue = 0,['76e47022']
.......init_policyAPI: papi_debug:  Exiting,['3c905a62']
.......init_policyAPI: APIInitialize:  Entering,['9b8a94d1']
.......init_policyAPI: open_socket:  Entering,['9b8a94d1']
.......init_policyAPI: open_socket:  Exiting,['e13a9f48']
".......init_policyAPI: APIInitialize:  ApiHandle = 98BDFB0,  connfd = 22",['808e5166']
.......init_policyAPI: APIInitialize:  Exiting,['e13a9f48']
.......init_policyAPI: RegisterWithPolicyAPI:  Entering,['9b8a94d1']
.......init_policyAPI: RegisterWithPolicyAPI:  Writing to socket = 22,['53fe1362']
.......init_policyAPI: ReadBuffer:  Entering,['9b8a94d1']
.......init_policyAPI: ReadBuffer:  Exiting,['e13a9f48']
.......init_policyAPI: RegisterWithPolicyAPI:  Exiting,['e13a9f48']
......rpapi_getPolicyData: RSVPFindActionName:  Entering,['aca7224d']
......rpapi_getPolicyData: ReadBuffer:  Entering,"['aca7224d', 'aca7224d']"
......rpapi_getPolicyData: ReadBuffer:  Exiting,"['18e960de', '18e960de']"
......rpapi_getPolicyData: RSVPFindActionName:  Result = 0,['969b339e']
......rpapi_getPolicyData: RSVPFindActionName:  Exiting,['18e960de']
......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Entering,['aca7224d']
......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Result = 0,['969b339e']
......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Exiting,['18e960de']
......rpapi_getSpecData: RSVPGetTSpec:  Entering,['0d835251']
......rpapi_getSpecData: RSVPGetTSpec:  Result = 0,['0d2cab93']
......rpapi_getSpecData: RSVPGetTSpec:  Exiting,['0d835251']
..........rpapi_Reg_UnregFlow: RSVPPutActionName:  Entering,['56ad283c']
..........rpapi_Reg_UnregFlow: ReadBuffer:  Entering,"['56ad283c', '56ad283c']"
..........rpapi_Reg_UnregFlow: ReadBuffer:  Exiting,"['8e7e2fe0', '8e7e2fe0']"
..........rpapi_Reg_UnregFlow: RSVPPutActionName:  Result = 0,['48db75d5']
..........rpapi_Reg_UnregFlow: RSVPPutActionName:  Exiting,['8e7e2fe0']
..........rpapi_Reg_UnregFlow: RSVPRemActionName:  Entering,['56ad283c']
..........rpapi_Reg_UnregFlow: RSVPRemActionName:  Result = 0,['48db75d5']
..........rpapi_Reg_UnregFlow: RSVPRemActionName:  Exiting,['8e7e2fe0']
......term_policyAPI: UnRegisterFromPolicyAPI:  Entering,['cb8fd700']
......term_policyAPI: ReadBuffer:  Entering,['cb8fd700']
......term_policyAPI: ReadBuffer:  Exiting,['40d86972']
......term_policyAPI: UnRegisterFromPolicyAPI:  Result = 0,['3320cb58']
......term_policyAPI: UnRegisterFromPolicyAPI:  Exiting,['40d86972']
......term_policyAPI: APITerminate:  Entering,['cb8fd700']
......term_policyAPI: APITerminate:  Exiting,['40d86972']
